"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"3","concerttours.facades.impl","/commerce_123/bin/custom/concerttours/testsrc/concerttours/facades/impl/DefaultBandFacadeIntegrationWithPropertiesTest.java","3","47","Assertion may be simplified using assertEquals","Best Practices","SimplifiableTestAssertion"
"4","concerttours.facades.impl","/commerce_123/bin/custom/concerttours/testsrc/concerttours/facades/impl/DefaultBandFacadeIntegrationWithPropertiesTest.java","3","47","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"5","concerttours.facades.impl","/commerce_123/bin/custom/concerttours/testsrc/concerttours/facades/impl/DefaultBandFacadeIntegrationWithPropertiesTest.java","3","51","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"1","concerttours.service.impl","/commerce_123/bin/custom/concerttours/src/concerttours/service/impl/DefaultConcerttoursService.java","2","37","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","concerttours.setup","/commerce_123/bin/custom/concerttours/src/concerttours/setup/ConcerttoursCustomSetup.java","3","72","Unnecessary modifier 'final' on resource specification 'resourceAsStream': resource specifications are implicitly final","Code Style","UnnecessaryModifier"
"2","concerttours.setup","/commerce_123/bin/custom/concerttours/src/concerttours/setup/ConcerttoursCustomSetup.java","2","87","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","concerttours.jobs","/commerce_123/bin/custom/concerttours/testsrc/concerttours/jobs/SendNewsJobIntegrationTest.java","4","8","Unnecessary import from the java.lang package 'java.lang.InterruptedException'","Code Style","UnnecessaryImport"
"2","concerttours.jobs","/commerce_123/bin/custom/concerttours/testsrc/concerttours/jobs/SendNewsJobIntegrationTest.java","3","60","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"1","concerttours.daos.impl","/commerce_123/bin/custom/concerttours/testsrc/concerttours/daos/impl/DefaultBandDAOIntegrationTest.java","4","7","Unnecessary import from the java.lang package 'java.lang.InterruptedException'","Code Style","UnnecessaryImport"
"2","concerttours.daos.impl","/commerce_123/bin/custom/concerttours/testsrc/concerttours/daos/impl/DefaultBandDAOIntegrationTest.java","4","68","Unnecessary use of fully qualified name 'Assert.assertTrue' due to existing static import 'org.junit.Assert.assertTrue'","Code Style","UnnecessaryFullyQualifiedName"
"3","concerttours.daos.impl","/commerce_123/bin/custom/concerttours/testsrc/concerttours/daos/impl/DefaultBandDAOIntegrationTest.java","1","78","The JUnit 4 test method name 'testFindBands_EmptyStringParam' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"4","concerttours.daos.impl","/commerce_123/bin/custom/concerttours/testsrc/concerttours/daos/impl/DefaultBandDAOIntegrationTest.java","4","82","Unnecessary use of fully qualified name 'Assert.assertTrue' due to existing static import 'org.junit.Assert.assertTrue'","Code Style","UnnecessaryFullyQualifiedName"
"5","concerttours.daos.impl","/commerce_123/bin/custom/concerttours/testsrc/concerttours/daos/impl/DefaultBandDAOIntegrationTest.java","1","86","The JUnit 4 test method name 'testfindBands_NullParam' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"6","concerttours.daos.impl","/commerce_123/bin/custom/concerttours/testsrc/concerttours/daos/impl/DefaultBandDAOIntegrationTest.java","3","92","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"1","concerttours.service.impl","/commerce_123/bin/custom/concerttours/testsrc/concerttours/service/impl/DefaultConcerttoursServiceIntegrationTest.java","4","21","Unnecessary import from the current package 'concerttours.service.impl.DefaultConcerttoursService'","Code Style","UnnecessaryImport"
"1","concerttours.facades.impl","/commerce_123/bin/custom/concerttours/testsrc/concerttours/facades/impl/DefaultBandFacadeIntegrationTest.java","4","8","Unnecessary import from the java.lang package 'java.lang.InterruptedException'","Code Style","UnnecessaryImport"
"2","concerttours.facades.impl","/commerce_123/bin/custom/concerttours/testsrc/concerttours/facades/impl/DefaultBandFacadeIntegrationTest.java","3","106","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"1","concerttours.events","/commerce_123/bin/custom/concerttours/testsrc/concerttours/events/BandAlbumSalesEventListenerIntegrationTest.java","4","8","Unnecessary import from the java.lang package 'java.lang.InterruptedException'","Code Style","UnnecessaryImport"
"1","concerttours.service.impl","/commerce_123/bin/custom/concerttours/testsrc/concerttours/service/impl/DefaultBandServiceIntegrationTest.java","4","10","Unnecessary import from the java.lang package 'java.lang.InterruptedException'","Code Style","UnnecessaryImport"
"2","concerttours.service.impl","/commerce_123/bin/custom/concerttours/testsrc/concerttours/service/impl/DefaultBandServiceIntegrationTest.java","4","12","Unused import 'java.util.Collections'","Code Style","UnnecessaryImport"
"3","concerttours.service.impl","/commerce_123/bin/custom/concerttours/testsrc/concerttours/service/impl/DefaultBandServiceIntegrationTest.java","4","96","Unnecessary use of fully qualified name 'Assert.assertEquals' due to existing static import 'org.junit.Assert.assertEquals'","Code Style","UnnecessaryFullyQualifiedName"
"4","concerttours.service.impl","/commerce_123/bin/custom/concerttours/testsrc/concerttours/service/impl/DefaultBandServiceIntegrationTest.java","4","100","Unnecessary use of fully qualified name 'Assert.assertEquals' due to existing static import 'org.junit.Assert.assertEquals'","Code Style","UnnecessaryFullyQualifiedName"
"1","concerttours.jalo","/commerce_123/bin/custom/concerttours/gensrc/concerttours/jalo/Band.java","3","456","Consider simply returning the value vs storing it in local variable 'items'","Code Style","UnnecessaryLocalBeforeReturn"
"1","concerttours.jalo","/commerce_123/bin/custom/concerttours/gensrc/concerttours/jalo/ConcerttoursManager.java","4","10","Unnecessary import from the current package 'concerttours.jalo.Band'","Code Style","UnnecessaryImport"
"2","concerttours.jalo","/commerce_123/bin/custom/concerttours/gensrc/concerttours/jalo/ConcerttoursManager.java","4","11","Unnecessary import from the current package 'concerttours.jalo.Concert'","Code Style","UnnecessaryImport"
"3","concerttours.jalo","/commerce_123/bin/custom/concerttours/gensrc/concerttours/jalo/ConcerttoursManager.java","4","12","Unnecessary import from the current package 'concerttours.jalo.News'","Code Style","UnnecessaryImport"
"4","concerttours.jalo","/commerce_123/bin/custom/concerttours/gensrc/concerttours/jalo/ConcerttoursManager.java","4","13","Unnecessary import from the current package 'concerttours.jalo.NotLoremIpsumConstraint'","Code Style","UnnecessaryImport"
"5","concerttours.jalo","/commerce_123/bin/custom/concerttours/gensrc/concerttours/jalo/ConcerttoursManager.java","4","15","Unused import 'de.hybris.platform.jalo.GenericItem'","Code Style","UnnecessaryImport"
"6","concerttours.jalo","/commerce_123/bin/custom/concerttours/gensrc/concerttours/jalo/ConcerttoursManager.java","4","28","Unused import 'de.hybris.platform.jalo.link.Link'","Code Style","UnnecessaryImport"
"7","concerttours.jalo","/commerce_123/bin/custom/concerttours/gensrc/concerttours/jalo/ConcerttoursManager.java","3","244","New exception is thrown in catch block, original stack trace may be lost","Best Practices","PreserveStackTrace"
"8","concerttours.jalo","/commerce_123/bin/custom/concerttours/gensrc/concerttours/jalo/ConcerttoursManager.java","4","244","Useless parentheses.","Code Style","UselessParentheses"
"9","concerttours.jalo","/commerce_123/bin/custom/concerttours/gensrc/concerttours/jalo/ConcerttoursManager.java","3","270","New exception is thrown in catch block, original stack trace may be lost","Best Practices","PreserveStackTrace"
"10","concerttours.jalo","/commerce_123/bin/custom/concerttours/gensrc/concerttours/jalo/ConcerttoursManager.java","4","270","Useless parentheses.","Code Style","UselessParentheses"
"11","concerttours.jalo","/commerce_123/bin/custom/concerttours/gensrc/concerttours/jalo/ConcerttoursManager.java","3","296","New exception is thrown in catch block, original stack trace may be lost","Best Practices","PreserveStackTrace"
"12","concerttours.jalo","/commerce_123/bin/custom/concerttours/gensrc/concerttours/jalo/ConcerttoursManager.java","4","296","Useless parentheses.","Code Style","UselessParentheses"
"13","concerttours.jalo","/commerce_123/bin/custom/concerttours/gensrc/concerttours/jalo/ConcerttoursManager.java","3","322","New exception is thrown in catch block, original stack trace may be lost","Best Practices","PreserveStackTrace"
"14","concerttours.jalo","/commerce_123/bin/custom/concerttours/gensrc/concerttours/jalo/ConcerttoursManager.java","4","322","Useless parentheses.","Code Style","UselessParentheses"
